datetime,email,type,mode,patron category,topics,location,duration
9/1/2023 10:54:50,calypso@cca.edu,Directional,Chat,Faculty,,Aeaea,11
9/1/2023 11:09:25,circe@cca.edu,Reference,Email,Faculty,,Aeaea,94
9/1/2023 13:18:22,calypso@cca.edu,Directional,Chat,Undergrad,,Aeaea,35
9/5/2023 8:53:28,circe@cca.edu,Service,Email,Other,,Aeaea,60
9/5/2023 11:27:44,circe@cca.edu,Service,Email,Staff,,Aeaea,75
9/5/2023 16:18:11,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,70
9/6/2023 10:40:19,circe@cca.edu,Reference,Email,Faculty,,Aeaea,93
9/6/2023 10:40:31,circe@cca.edu,Service,Email,Staff,,Aeaea,34
9/6/2023 10:40:44,circe@cca.edu,Service,Email,Staff,,Aeaea,33
9/6/2023 12:06:58,circe@cca.edu,Reference,Email,Other,,Aeaea,70
9/6/2023 14:57:39,calypso@cca.edu,Technical/Computing,Chat,Grad Student,Moodle,Aeaea,50
9/6/2023 17:00:29,cyclops@cca.edu,Reference,In Person,,,Ithaca,94
9/7/2023 12:06:38,calypso@cca.edu,Service,Chat,Faculty,Moodle,Aeaea,79
9/7/2023 12:06:52,calypso@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,96
9/7/2023 15:26:23,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,90
9/6/2023 15:00:00,telemachus@cca.edu,Technical/Computing,In Person,Faculty,"Moodle, Panopto",Ithaca,42
9/7/2023 17:42:09,telemachus@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,24
9/8/2023 11:37:35,calypso@cca.edu,Service,Email,,VAULT,Aeaea,38
9/8/2023 11:45:19,circe@cca.edu,Reference,Email,Other,,Aeaea,65
9/8/2023 12:29:08,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,39
9/8/2023 13:18:53,calypso@cca.edu,Technical/Computing,Chat,Undergrad,Moodle,Aeaea,68
9/8/2023 13:33:16,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,23
9/9/2023 8:26:42,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,32
9/11/2023 10:21:02,circe@cca.edu,Service,Email,Faculty,,Ithaca,30
9/13/2023 11:01:57,calypso@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,7
9/13/2023 16:00:00,telemachus@cca.edu,Technical/Computing,In Person,Faculty,Moodle,Ithaca,59
9/14/2023 12:05:55,calypso@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,59
9/18/2023 10:42:38,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,31
9/18/2023 12:50:57,telemachus@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,5
9/18/2023 14:13:42,circe@cca.edu,Reference,Email,Faculty,,Aeaea,61
9/19/2023 10:06:50,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,47
9/19/2023 11:32:46,calypso@cca.edu,Technical/Computing,Email,Staff,Moodle,Aeaea,22
9/19/2023 15:29:29,circe@cca.edu,Reference,In Person,Faculty,,Ithaca,62
9/19/2023 15:29:46,circe@cca.edu,Reference,Email,Faculty,,Aeaea,21
9/20/2023 14:41:43,calypso@cca.edu,Reference,Chat,Faculty,,Aeaea,35
9/20/2023 18:37:39,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,9
9/21/2023 9:58:00,circe@cca.edu,Reference,Email,Staff,,Aeaea,63
9/21/2023 10:11:46,circe@cca.edu,Service,Email,Other,,Aeaea,73
9/21/2023 10:32:21,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,54
9/22/2023 14:22:35,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,26
9/25/2023 9:15:43,circe@cca.edu,Reference,Email,Faculty,,Aeaea,26
9/25/2023 10:21:28,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,95
9/25/2023 11:12:26,circe@cca.edu,Reference,Email,Undergrad,,Aeaea,88
9/26/2023 9:15:24,circe@cca.edu,Reference,Email,Faculty,,Aeaea,26
9/26/2023 9:15:40,circe@cca.edu,Service,In Person,Staff,,Ithaca,89
9/26/2023 9:23:37,circe@cca.edu,Reference,Email,Faculty,,Aeaea,34
9/26/2023 12:58:58,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,75
9/26/2023 13:59:14,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,21
9/26/2023 15:41:35,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,22
9/26/2023 15:52:02,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,62
9/27/2023 9:58:15,circe@cca.edu,Reference,Email,Faculty,,Aeaea,5
9/27/2023 14:35:57,calypso@cca.edu,Technical/Computing,Email,Faculty,VAULT,Aeaea,43
9/27/2023 11:15:00,telemachus@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,86
9/29/2023 11:43:06,calypso@cca.edu,Technical/Computing,Email,Alumni,VAULT,Aeaea,50
9/29/2023 15:46:54,calypso@cca.edu,Reference,Chat,Faculty,,Aeaea,27
10/4/2023 11:22:00,calypso@cca.edu,Technical/Computing,Email,Staff,VAULT,Aeaea,40
10/4/2023 12:46:44,calypso@cca.edu,Reference,Email,,VAULT,Aeaea,93
10/4/2023 12:57:41,calypso@cca.edu,Reference,Chat,Grad Student,,Aeaea,10
10/5/2023 9:37:10,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,48
10/5/2023 11:03:25,calypso@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,41
10/6/2023 10:59:42,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,53
10/9/2023 8:18:54,calypso@cca.edu,Reference,Email,Faculty,,Aeaea,0
10/9/2023 13:21:00,charybdis@cca.edu,Technical/Computing,Chat,Faculty,Zoom,Aeaea,56
10/9/2023 13:29:28,circe@cca.edu,Service,Email,Grad Student,,Aeaea,13
10/10/2023 10:59:17,calypso@cca.edu,Directional,Chat,,,Aeaea,76
10/11/2023 7:17:19,circe@cca.edu,Service,Email,Faculty,,Aeaea,81
10/11/2023 8:51:14,circe@cca.edu,Reference,Email,Staff,,Ithaca,25
10/12/2023 8:09:01,circe@cca.edu,Reference,Email,,,Aeaea,61
10/12/2023 8:09:21,circe@cca.edu,Reference,Email,Other,,Aeaea,57
10/12/2023 8:14:26,circe@cca.edu,Reference,Email,Staff,,Aeaea,11
10/12/2023 9:07:44,calypso@cca.edu,Directional,Chat,,,Aeaea,14
10/16/2023 13:53:41,circe@cca.edu,Reference,Email,Faculty,,Aeaea,62
10/17/2023 10:09:44,circe@cca.edu,Reference,Email,Faculty,,Aeaea,11
10/23/2023 12:46:21,calypso@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,97
10/23/2023 14:55:34,calypso@cca.edu,Technical/Computing,Email,Faculty,Portal,Aeaea,29
10/23/2023 16:14:57,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,72
10/26/2023 8:58:06,calypso@cca.edu,Technical/Computing,Email,Staff,Moodle,Aeaea,76
10/26/2023 10:44:58,circe@cca.edu,Reference,Email,Faculty,,Aeaea,45
10/26/2023 10:45:20,circe@cca.edu,Reference,Email,Other,,Aeaea,79
10/26/2023 10:45:39,circe@cca.edu,Reference,Email,Other,,Aeaea,21
10/26/2023 10:45:57,circe@cca.edu,Service,Email,Other,,Aeaea,96
10/30/2023 15:22:03,circe@cca.edu,Reference,Email,Other,,Aeaea,86
11/1/2023 8:52:15,circe@cca.edu,Service,Email,Other,,Aeaea,78
11/1/2023 13:43:33,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,59
11/1/2023 15:21:30,circe@cca.edu,Reference,Email,Grad Student,,Aeaea,12
11/2/2023 14:19:50,cyclops@cca.edu,Reference,In Person,Grad Student,,Ithaca,27
11/2/2023 16:08:28,cyclops@cca.edu,Reference,Email,Undergrad,,Ithaca,7
11/3/2023 16:23:45,telemachus@cca.edu,Technical/Computing,Chat,Faculty,Moodle,Aeaea,17
11/6/2023 10:39:48,circe@cca.edu,Reference,Email,Faculty,,Ithaca,67
11/6/2023 10:54:11,circe@cca.edu,Reference,Email,Grad Student,,Aeaea,44
11/6/2023 15:32:00,calypso@cca.edu,Reference,Chat,Faculty,,Aeaea,24
11/7/2023 14:36:11,calypso@cca.edu,Technical/Computing,Email,Faculty,VAULT,Aeaea,2
11/8/2023 9:53:56,circe@cca.edu,Reference,Email,Faculty,,Aeaea,38
11/8/2023 9:54:10,circe@cca.edu,Reference,Email,Faculty,,Aeaea,97
11/8/2023 9:54:25,circe@cca.edu,Reference,Email,Grad Student,,Aeaea,22
11/8/2023 13:11:24,calypso@cca.edu,Technical/Computing,Chat,Faculty,,Aeaea,73
11/9/2023 14:59:21,telemachus@cca.edu,Technical/Computing,Zoom,Faculty,"Moodle, VoiceThread",Aeaea,94
11/13/2023 14:21:36,circe@cca.edu,Reference,Email,Staff,,Aeaea,18
11/14/2023 11:09:28,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,72
11/14/2023 11:09:39,cyclops@cca.edu,Reference,In Person,Undergrad,,Ithaca,87
11/14/2023 13:06:00,circe@cca.edu,Reference,Email,Other,,Aeaea,32
11/16/2023 13:51:06,telemachus@cca.edu,Reference,Chat,Other,,Aeaea,75
11/17/2023 10:01:45,charybdis@cca.edu,Directional,Chat,,,Aeaea,90
11/21/2023 7:19:04,circe@cca.edu,Reference,Email,Grad Student,,Aeaea,59
11/21/2023 7:19:20,circe@cca.edu,Reference,Email,Faculty,,Aeaea,64
